Unit_ID,Cycle,Life_Cycles,Vibration_mm_s,Temperature_C,Current_A,RPM,Bearing_Noise_dB,Load_Factor,RUL,RUL_clipped,Risk_Level,Vibration_mm_s_roll_mean,Vibration_mm_s_roll_std,Temperature_C_roll_mean,Temperature_C_roll_std,Current_A_roll_mean,Current_A_roll_std,RPM_roll_mean,RPM_roll_std,Bearing_Noise_dB_roll_mean,Bearing_Noise_dB_roll_std,Predicted_RUL,Predicted_Risk,Data_Split
1,1,175,1.5,45.32,11.73,1474.67,54.9,0.978,174,130,Low,1.5,0.0,45.32,0.0,11.73,0.0,1474.67,0.0,54.9,0.0,,,train
1,2,175,1.4,45.02,11.91,1477.71,55.5,0.978,173,130,Low,1.45,0.07071067811865482,45.17,0.21213203435596223,11.82,0.12727922061357835,1476.19,2.1496046148070787,55.2,0.424264068711927,,,train
1,3,175,1.69,44.21,12.3,1486.45,55.34,0.978,172,130,Low,1.53,0.14730919862656233,44.85,0.5741950887982238,11.979999999999999,0.2913760456866695,1479.61,6.11552123698377,55.24666666666667,0.31069813860616025,,,train
1,4,175,1.48,45.71,11.79,1483.86,54.73,0.978,171,130,Low,1.5175,0.12284814474246922,45.065,0.6361603571427575,11.932500000000001,0.2561737691489904,1480.6725000000001,5.426664875101997,55.1175,0.36206583195141123,,,train
1,5,175,1.56,44.57,11.98,1484.22,54.07,0.978,170,130,Low,1.526,0.10807404868885037,44.966,0.5937423683720073,11.942,0.22286767374386127,1481.382,4.960188504482387,54.908,0.5637109188227604,,,train
1,6,175,1.35,46.92,11.91,1479.13,55.26,0.978,169,130,Low,1.496,0.13464768843169939,45.286,1.071321613708975,11.978,0.19253571097331587,1482.274,3.6897195015338378,54.98,0.58502136713115,,,train
1,7,175,1.45,43.64,11.53,1482.77,55.25,0.978,168,130,Low,1.5059999999999998,0.12739701723352864,45.010000000000005,1.3084914978707354,11.902,0.28083803161253024,1483.286,2.6810128683017207,54.92999999999999,0.5382843114934711,,,train
1,8,175,1.48,43.47,11.61,1472.17,54.4,0.978,167,130,Low,1.464,0.07569676347110223,44.862,1.4552216326044634,11.764,0.1917811252443808,1480.43,5.03791127353386,54.742,0.5232303508016355,,,train
1,9,175,1.79,45.08,11.69,1484.8,56.03,0.978,166,130,Low,1.526,0.16562004709575467,44.736000000000004,1.3892192051652603,11.744,0.1935975206452835,1480.618,5.2124245797900475,55.001999999999995,0.7771550681813773,,,train
1,10,175,1.39,46.18,11.93,1486.67,55.54,0.978,165,130,Low,1.492,0.17412639087743134,45.058,1.5214203889786688,11.734,0.17910890541790744,1481.1080000000002,5.725584686300554,55.29600000000001,0.5925622330186093,,,train
1,11,175,1.58,45.02,12.11,1474.03,55.66,0.978,164,130,Low,1.5379999999999998,0.15674820573135767,44.678000000000004,1.1259751329403302,11.774000000000001,0.24016660883645075,1480.0880000000002,6.559589926207283,55.376,0.6131313073070077,,,train
1,12,175,1.53,44.9,11.72,1487.45,55.77,0.978,163,130,Low,1.554,0.14943225890014522,44.92999999999999,0.9650906693155837,11.812000000000001,0.20425474290698992,1481.024,7.3269761839383625,55.480000000000004,0.6302777165662778,,,train
1,13,175,1.52,46.03,11.9,1487.59,55.04,0.978,162,130,Low,1.5619999999999998,0.14549914089093458,45.44199999999999,0.6109991816688628,11.870000000000001,0.17102631376487176,1484.108,5.742431540732471,55.608000000000004,0.3654722971717573,,,train
1,14,175,1.75,46.12,11.89,1486.4,55.07,0.978,161,130,Low,1.5539999999999998,0.13011533345459336,45.65,0.6335613624583069,11.91,0.13874436925511688,1484.4279999999999,5.8344768403001765,55.416,0.3396027090586878,,,train
1,15,175,1.4,44.98,12.01,1488.35,55.21,0.978,160,130,Low,1.556,0.12700393694685225,45.410000000000004,0.6094259594077192,11.926,0.14604793733565766,1484.764,6.040602618944469,55.35,0.3415406271587606,,,train
1,16,175,1.49,44.36,11.82,1471.41,54.12,0.978,159,130,Low,1.5379999999999998,0.12911235417263528,45.278,0.7663028122093882,11.867999999999999,0.10709808588392371,1484.24,7.20578240026707,55.04200000000001,0.5935233778041117,,,train
1,17,175,1.44,44.66,12.29,1477.67,55.41,0.978,158,130,Low,1.52,0.13656500283747666,45.230000000000004,0.8025584090893424,11.982,0.18512158166999318,1482.284,7.44016666479987,54.970000000000006,0.4971418308692205,,,train
1,18,175,1.67,42.4,11.89,1483.72,55.04,0.978,157,130,Low,1.55,0.15215124054702944,44.504000000000005,1.3518431861721238,11.98,0.18627936010197138,1481.51,6.93428799517295,54.96999999999999,0.4971418308692205,,,train
1,19,175,1.53,46.41,11.92,1472.46,54.84,0.978,156,130,Low,1.506,0.10406728592598154,44.562,1.4417420018852192,11.986,0.1831119875922927,1478.7220000000002,7.270885090551292,54.924,0.4962156789139179,,,train
1,20,175,1.68,44.12,12.11,1481.47,55.85,0.978,155,130,Low,1.5619999999999998,0.10802777420645125,44.39,1.4306641814206424,12.006,0.1916507239746302,1477.346,5.404843198465829,55.052,0.6478194192828748,,,train
1,21,175,1.7,44.95,11.46,1486.84,54.17,0.978,154,130,Low,1.6039999999999999,0.11371015785759875,44.507999999999996,1.451747223176266,11.934000000000001,0.310048383321055,1480.432,5.570733344901748,55.062,0.6299761900262568,,,train
1,22,175,1.53,46.13,12.71,1469.0,55.04,0.978,153,130,Low,1.6219999999999999,0.08467585252006635,44.802,1.6283335039235671,12.018,0.4540594674709467,1478.6979999999999,7.618406657563101,54.988,0.5998916568848065,,,train
1,23,175,1.58,45.2,12.4,1487.66,54.4,0.978,152,130,Low,1.6039999999999999,0.08142481194328927,45.362,0.9255646924985838,12.120000000000001,0.4749210460697644,1479.486,8.428415034868744,54.86,0.6520352751193733,,,train
1,24,175,1.58,45.67,12.0,1486.94,54.53,0.978,151,130,Low,1.614,0.07266360849833997,45.214,0.7605458566056364,12.136,0.46779268912628286,1482.382,7.880610382451335,54.798,0.6689319845843784,,,train
1,25,175,1.28,44.63,12.37,1479.79,55.7,0.978,150,130,Low,1.534,0.15517731793016665,45.315999999999995,0.5928574870911208,12.187999999999999,0.4785080981550873,1482.046,7.964582851599955,54.767999999999994,0.610794564481377,,,train
1,26,175,1.6,43.61,12.1,1479.9,54.61,0.978,149,130,Low,1.514,0.13334166640626638,45.048,0.9776604727613751,12.315999999999999,0.27915945264310565,1480.6580000000001,7.512131521745421,54.85600000000001,0.5293675471730381,,,train
